szkola,id_szkoly,oddzial,miejsca,chetni_ogolem,chetni_ogolem_oczekujacy,chetni_pierwsza_pref,chetni_pierwsza_pref_oczekujacy,wskaznik,pobrano
I Liceum Ogólnokształcące,8,"I Liceum Ogólnokształcące, Gdańsk - 1a MEDIALNO-PRAWNICZA",28,1,37,0,3,0.04,2026-05-16T02:04:45
I Liceum Ogólnokształcące,8,"I Liceum Ogólnokształcące, Gdańsk - 1b AKADEMICKA matematyczno-fizyczna",28,1,26,0,1,0.04,2026-05-16T02:04:45
I Liceum Ogólnokształcące,8,"I Liceum Ogólnokształcące, Gdańsk - 1c POLITECHNICZNA matematyczno-fizyczna",56,1,23,0,5,0.02,2026-05-16T02:04:45
I Liceum Ogólnokształcące,8,"I Liceum Ogólnokształcące, Gdańsk - 1d EKONOMICZNA matematyczno-geograficzna",28,2,29,0,2,0.07,2026-05-16T02:04:45
I Liceum Ogólnokształcące,8,"I Liceum Ogólnokształcące, Gdańsk - 1e MEDYCZNA biologiczno-chemiczna",28,1,49,0,9,0.04,2026-05-16T02:04:45
I Liceum Ogólnokształcące,8,"I Liceum Ogólnokształcące, Gdańsk  - RAZEM",168,2,0,0,20,0.01,2026-05-16T02:04:45
II Liceum Ogólnokształcące,9,"II Liceum Ogólnokształcące, Gdańsk - 1A POLITECHNICZNA",28,1,29,0,1,0.04,2026-05-16T02:04:45
II Liceum Ogólnokształcące,9,"II Liceum Ogólnokształcące, Gdańsk - 1Bh HUMANISTYCZNA",14,1,33,0,3,0.07,2026-05-16T02:04:45
II Liceum Ogólnokształcące,9,"II Liceum Ogólnokształcące, Gdańsk - 1Bw [O] ang-pol-wos (ang-niem,fra)",14,0,21,0,0,0.0,2026-05-16T02:04:45
II Liceum Ogólnokształcące,9,"II Liceum Ogólnokształcące, Gdańsk - 1C MEDYCZNA",28,0,38,0,4,0.0,2026-05-16T02:04:45
II Liceum Ogólnokształcące,9,"II Liceum Ogólnokształcące, Gdańsk - 1D PRZYRODNICZA",28,1,22,0,0,0.04,2026-05-16T02:04:45
II Liceum Ogólnokształcące,9,"II Liceum Ogólnokształcące, Gdańsk - 1E MENEDŻERSKA",28,1,28,0,2,0.04,2026-05-16T02:04:45
II Liceum Ogólnokształcące,9,"II Liceum Ogólnokształcące, Gdańsk  - RAZEM",140,3,0,0,10,0.02,2026-05-16T02:04:45
